"","Metric","Units","Amount","startDate","endDate"
"1","Basic (in US dollars per share)","iso4217_USD_per_shares","6.94","2007-09-30","2008-09-27"
"2","Basic (in US dollars per share)","iso4217_USD_per_shares","9.22","2008-09-28","2009-09-26"
"3","Basic (in US dollars per share)","iso4217_USD_per_shares","15.41","2009-09-27","2010-09-25"
"4","Basic (in US dollars per share)","iso4217_USD_per_shares","2.54","2008-09-28","2008-12-27"
"5","Basic (in US dollars per share)","iso4217_USD_per_shares","1.82","2008-12-28","2009-03-28"
"6","Basic (in US dollars per share)","iso4217_USD_per_shares","2.05","2009-03-29","2009-06-27"
"7","Basic (in US dollars per share)","iso4217_USD_per_shares","2.82","2009-06-28","2009-09-26"
"8","Basic (in US dollars per share)","iso4217_USD_per_shares","3.74","2009-09-27","2009-12-26"
"9","Basic (in US dollars per share)","iso4217_USD_per_shares","3.39","2009-12-27","2010-03-27"
"10","Basic (in US dollars per share)","iso4217_USD_per_shares","3.57","2010-03-28","2010-06-26"
"11","Basic (in US dollars per share)","iso4217_USD_per_shares","4.71","2010-06-27","2010-09-25"
"12","Diluted (in US dollars per share)","iso4217_USD_per_shares","6.78","2007-09-30","2008-09-27"
"13","Diluted (in US dollars per share)","iso4217_USD_per_shares","9.08","2008-09-28","2009-09-26"
"14","Diluted (in US dollars per share)","iso4217_USD_per_shares","15.15","2009-09-27","2010-09-25"
"15","Diluted (in US dollars per share)","iso4217_USD_per_shares","2.50","2008-09-28","2008-12-27"
"16","Diluted (in US dollars per share)","iso4217_USD_per_shares","1.79","2008-12-28","2009-03-28"
"17","Diluted (in US dollars per share)","iso4217_USD_per_shares","2.01","2009-03-29","2009-06-27"
"18","Diluted (in US dollars per share)","iso4217_USD_per_shares","2.77","2009-06-28","2009-09-26"
"19","Diluted (in US dollars per share)","iso4217_USD_per_shares","3.67","2009-09-27","2009-12-26"
"20","Diluted (in US dollars per share)","iso4217_USD_per_shares","3.33","2009-12-27","2010-03-27"
"21","Diluted (in US dollars per share)","iso4217_USD_per_shares","3.51","2010-03-28","2010-06-26"
"22","Diluted (in US dollars per share)","iso4217_USD_per_shares","4.64","2010-06-27","2010-09-25"
"23","Research and Development Expense","iso4217_USD","1109000000","2007-09-30","2008-09-27"
"24","Research and Development Expense","iso4217_USD","1333000000","2008-09-28","2009-09-26"
"25","Research and Development Expense","iso4217_USD","1782000000","2009-09-27","2010-09-25"
"26","Selling, General and Administrative Expense","iso4217_USD","3761000000","2007-09-30","2008-09-27"
"27","Selling, General and Administrative Expense","iso4217_USD","4149000000","2008-09-28","2009-09-26"
"28","Selling, General and Administrative Expense","iso4217_USD","5517000000","2009-09-27","2010-09-25"
"29","Total operating expenses","iso4217_USD","4870000000","2007-09-30","2008-09-27"
"30","Total operating expenses","iso4217_USD","5482000000","2008-09-28","2009-09-26"
"31","Total operating expenses","iso4217_USD","7299000000","2009-09-27","2010-09-25"
"32","Sales Revenue, Net","iso4217_USD","37491000000","2007-09-30","2008-09-27"
"33","Sales Revenue, Net","iso4217_USD","42905000000","2008-09-28","2009-09-26"
"34","Sales Revenue, Net","iso4217_USD","65225000000","2009-09-27","2010-09-25"
"35","Sales Revenue, Net","iso4217_USD","11880000000","2008-09-28","2008-12-27"
"36","Sales Revenue, Net","iso4217_USD","9084000000","2008-12-28","2009-03-28"
"37","Sales Revenue, Net","iso4217_USD","9734000000","2009-03-29","2009-06-27"
"38","Sales Revenue, Net","iso4217_USD","12207000000","2009-06-28","2009-09-26"
"39","Sales Revenue, Net","iso4217_USD","15683000000","2009-09-27","2009-12-26"
"40","Sales Revenue, Net","iso4217_USD","13499000000","2009-12-27","2010-03-27"
"41","Sales Revenue, Net","iso4217_USD","15700000000","2010-03-28","2010-06-26"
"42","Sales Revenue, Net","iso4217_USD","20343000000","2010-06-27","2010-09-25"
"43","Cost of Goods and Services Sold","iso4217_USD","24294000000","2007-09-30","2008-09-27"
"44","Cost of Goods and Services Sold","iso4217_USD","25683000000","2008-09-28","2009-09-26"
"45","Cost of Goods and Services Sold","iso4217_USD","39541000000","2009-09-27","2010-09-25"
"46","Gross margin","iso4217_USD","13197000000","2007-09-30","2008-09-27"
"47","Gross margin","iso4217_USD","17222000000","2008-09-28","2009-09-26"
"48","Gross margin","iso4217_USD","25684000000","2009-09-27","2010-09-25"
"49","Gross margin","iso4217_USD","4507000000","2008-09-28","2008-12-27"
"50","Gross margin","iso4217_USD","3627000000","2008-12-28","2009-03-28"
"51","Gross margin","iso4217_USD","3983000000","2009-03-29","2009-06-27"
"52","Gross margin","iso4217_USD","5105000000","2009-06-28","2009-09-26"
"53","Gross margin","iso4217_USD","6411000000","2009-09-27","2009-12-26"
"54","Gross margin","iso4217_USD","5625000000","2009-12-27","2010-03-27"
"55","Gross margin","iso4217_USD","6136000000","2010-03-28","2010-06-26"
"56","Gross margin","iso4217_USD","7512000000","2010-06-27","2010-09-25"
"57","Total operating income","iso4217_USD","8327000000","2007-09-30","2008-09-27"
"58","Total operating income","iso4217_USD","11740000000","2008-09-28","2009-09-26"
"59","Total operating income","iso4217_USD","18385000000","2009-09-27","2010-09-25"
"60","Other income and expense","iso4217_USD","620000000","2007-09-30","2008-09-27"
"61","Other income and expense","iso4217_USD","326000000","2008-09-28","2009-09-26"
"62","Other income and expense","iso4217_USD","155000000","2009-09-27","2010-09-25"
"63","Income before provision for income taxes","iso4217_USD","8947000000","2007-09-30","2008-09-27"
"64","Income before provision for income taxes","iso4217_USD","12066000000","2008-09-28","2009-09-26"
"65","Income before provision for income taxes","iso4217_USD","18540000000","2009-09-27","2010-09-25"
"66","Provision for income taxes","iso4217_USD","2828000000","2007-09-30","2008-09-27"
"67","Provision for income taxes","iso4217_USD","3831000000","2008-09-28","2009-09-26"
"68","Provision for income taxes","iso4217_USD","4527000000","2009-09-27","2010-09-25"
"69","Net income","iso4217_USD","6119000000","2007-09-30","2008-09-27"
"70","Net income","iso4217_USD","8235000000","2008-09-28","2009-09-26"
"71","Net income","iso4217_USD","14013000000","2009-09-27","2010-09-25"
"72","Net income","iso4217_USD","2255000000","2008-09-28","2008-12-27"
"73","Net income","iso4217_USD","1620000000","2008-12-28","2009-03-28"
"74","Net income","iso4217_USD","1828000000","2009-03-29","2009-06-27"
"75","Net income","iso4217_USD","2532000000","2009-06-28","2009-09-26"
"76","Net income","iso4217_USD","3378000000","2009-09-27","2009-12-26"
"77","Net income","iso4217_USD","3074000000","2009-12-27","2010-03-27"
"78","Net income","iso4217_USD","3253000000","2010-03-28","2010-06-26"
"79","Net income","iso4217_USD","4308000000","2010-06-27","2010-09-25"
"80","Weighted-average shares outstanding","shares","881592000","2007-09-30","2008-09-27"
"81","Weighted-average shares outstanding","shares","893016000","2008-09-28","2009-09-26"
"82","Weighted-average shares outstanding","shares","909461000","2009-09-27","2010-09-25"
"83","Diluted","shares","902139000","2007-09-30","2008-09-27"
"84","Diluted","shares","907005000","2008-09-28","2009-09-26"
"85","Diluted","shares","924712000","2009-09-27","2010-09-25"
