"","Metric","Units","Amount","startDate","endDate"
"1","Sales of products","Unit1","57032000000","2009-01-01","2009-12-31"
"2","Sales of products","Unit1","52586000000","2010-01-01","2010-12-31"
"3","Sales of products","Unit1","57401000000","2011-01-01","2011-12-31"
"4","Sales of services","Unit1","11249000000","2009-01-01","2009-12-31"
"5","Sales of services","Unit1","11720000000","2010-01-01","2010-12-31"
"6","Sales of services","Unit1","11334000000","2011-01-01","2011-12-31"
"7","Revenues","Unit1","68281000000","2009-01-01","2009-12-31"
"8","Revenues","Unit1","64306000000","2010-01-01","2010-12-31"
"9","Revenues","Unit1","15216000000","2010-01-01","2010-03-31"
"10","Revenues","Unit1","68735000000","2011-01-01","2011-12-31"
"11","Revenues","Unit1","14910000000","2011-01-01","2011-03-31"
"12","Revenues","Unit1","16550000000","2010-10-01","2010-12-31"
"13","Revenues","Unit1","19555000000","2011-10-01","2011-12-31"
"14","Revenues","Unit1","15573000000","2010-04-01","2010-06-30"
"15","Revenues","Unit1","16543000000","2011-04-01","2011-06-30"
"16","Revenues","Unit1","16967000000","2010-07-01","2010-09-30"
"17","Revenues","Unit1","17727000000","2011-07-01","2011-09-30"
"18","Cost of products","Unit1","47639000000","2009-01-01","2009-12-31"
"19","Cost of products","Unit1","42194000000","2010-01-01","2010-12-31"
"20","Cost of products","Unit1","46642000000","2011-01-01","2011-12-31"
"21","Cost of Services","Unit1","8726000000","2009-01-01","2009-12-31"
"22","Cost of Services","Unit1","9489000000","2010-01-01","2010-12-31"
"23","Cost of Services","Unit1","9097000000","2011-01-01","2011-12-31"
"24","Boeing Capital Corporation interest expense","Unit1","175000000","2009-01-01","2009-12-31"
"25","Boeing Capital Corporation interest expense","Unit1","160000000","2010-01-01","2010-12-31"
"26","Boeing Capital Corporation interest expense","Unit1","128000000","2011-01-01","2011-12-31"
"27","Total costs and expenses","Unit1","56540000000","2009-01-01","2009-12-31"
"28","Total costs and expenses","Unit1","51843000000","2010-01-01","2010-12-31"
"29","Total costs and expenses","Unit1","12144000000","2010-01-01","2010-03-31"
"30","Total costs and expenses","Unit1","55867000000","2011-01-01","2011-12-31"
"31","Total costs and expenses","Unit1","12049000000","2011-01-01","2011-03-31"
"32","Total costs and expenses","Unit1","13413000000","2010-10-01","2010-12-31"
"33","Total costs and expenses","Unit1","16261000000","2011-10-01","2011-12-31"
"34","Total costs and expenses","Unit1","12540000000","2010-04-01","2010-06-30"
"35","Total costs and expenses","Unit1","13200000000","2011-04-01","2011-06-30"
"36","Total costs and expenses","Unit1","13746000000","2010-07-01","2010-09-30"
"37","Total costs and expenses","Unit1","14357000000","2011-07-01","2011-09-30"
"38","Gross Profit","Unit1","11741000000","2009-01-01","2009-12-31"
"39","Gross Profit","Unit1","12463000000","2010-01-01","2010-12-31"
"40","Gross Profit","Unit1","12868000000","2011-01-01","2011-12-31"
