"","Metric","Units","Amount","startDate","endDate"
"1","Cash and cash equivalents","iso4217_USD","6118000000",NA,"2006-12-31"
"2","Cash and cash equivalents","iso4217_USD","7042000000",NA,"2007-12-31"
"3","Cash and cash equivalents","iso4217_USD","3268000000",NA,"2008-12-31"
"4","Cash and cash equivalents","iso4217_USD","9215000000",NA,"2009-12-31"
"5","Short-term investments","iso4217_USD","11000000",NA,"2008-12-31"
"6","Short-term investments","iso4217_USD","2008000000",NA,"2009-12-31"
"7","Accounts receivable, net","iso4217_USD","5602000000",NA,"2008-12-31"
"8","Accounts receivable, net","iso4217_USD","5785000000",NA,"2009-12-31"
"9","Current portion of customer financing, net","iso4217_USD","425000000",NA,"2008-12-31"
"10","Current portion of customer financing, net","iso4217_USD","368000000",NA,"2009-12-31"
"11","Deferred Tax Assets, Net, Current","iso4217_USD","1046000000",NA,"2008-12-31"
"12","Deferred Tax Assets, Net, Current","iso4217_USD","966000000",NA,"2009-12-31"
"13","Inventories, net of advances and progress billings","iso4217_USD","15612000000",NA,"2008-12-31"
"14","Inventories, net of advances and progress billings","iso4217_USD","16933000000",NA,"2009-12-31"
"15","Total current assets","iso4217_USD","25964000000",NA,"2008-12-31"
"16","Total current assets","iso4217_USD","35275000000",NA,"2009-12-31"
"17","Customer Financing, Noncurrent","iso4217_USD","5857000000",NA,"2008-12-31"
"18","Customer Financing, Noncurrent","iso4217_USD","5466000000",NA,"2009-12-31"
"19","Property, plant and equipment, net","iso4217_USD","8762000000",NA,"2008-12-31"
"20","Property, plant and equipment, net","iso4217_USD","8784000000",NA,"2009-12-31"
"21","Goodwill","iso4217_USD","3647000000",NA,"2008-12-31"
"22","Goodwill","iso4217_USD","4319000000",NA,"2009-12-31"
"23","Other acquired intangibles, net","iso4217_USD","2685000000",NA,"2008-12-31"
"24","Other acquired intangibles, net","iso4217_USD","2877000000",NA,"2009-12-31"
"25","Deferred Tax Assets, Net, Noncurrent","iso4217_USD","4114000000",NA,"2008-12-31"
"26","Deferred Tax Assets, Net, Noncurrent","iso4217_USD","3062000000",NA,"2009-12-31"
"27","Long-term Investments","iso4217_USD","1328000000",NA,"2008-12-31"
"28","Long-term Investments","iso4217_USD","1030000000",NA,"2009-12-31"
"29","Pension plan assets, net","iso4217_USD","16000000",NA,"2008-12-31"
"30","Pension plan assets, net","iso4217_USD","16000000",NA,"2009-12-31"
"31","Other assets, net of accumulated amortization of $492 and $400","iso4217_USD","1406000000",NA,"2008-12-31"
"32","Other assets, net of accumulated amortization of $492 and $400","iso4217_USD","1224000000",NA,"2009-12-31"
"33","Total assets","iso4217_USD","53779000000",NA,"2008-12-31"
"34","Total assets","iso4217_USD","62053000000",NA,"2009-12-31"
"35","Accounts Payable, Current","iso4217_USD","5871000000",NA,"2008-12-31"
"36","Accounts Payable, Current","iso4217_USD","7096000000",NA,"2009-12-31"
"37","Accrued Liabilities, Current","iso4217_USD","11564000000",NA,"2008-12-31"
"38","Accrued Liabilities, Current","iso4217_USD","12822000000",NA,"2009-12-31"
"39","Customer Advances and Billings In Excess of Cost","iso4217_USD","12737000000",NA,"2008-12-31"
"40","Customer Advances and Billings In Excess of Cost","iso4217_USD","12076000000",NA,"2009-12-31"
"41","Income taxes payable","iso4217_USD","41000000",NA,"2008-12-31"
"42","Income taxes payable","iso4217_USD","182000000",NA,"2009-12-31"
"43","Short-term debt and current portion of long-term debt","iso4217_USD","560000000",NA,"2008-12-31"
"44","Short-term debt and current portion of long-term debt","iso4217_USD","707000000",NA,"2009-12-31"
"45","Total current liabilities","iso4217_USD","30773000000",NA,"2008-12-31"
"46","Total current liabilities","iso4217_USD","32883000000",NA,"2009-12-31"
"47","Accrued retiree health care","iso4217_USD","7322000000",NA,"2008-12-31"
"48","Accrued retiree health care","iso4217_USD","7049000000",NA,"2009-12-31"
"49","Accrued pension plan liability, net","iso4217_USD","8383000000",NA,"2008-12-31"
"50","Accrued pension plan liability, net","iso4217_USD","6315000000",NA,"2009-12-31"
"51","Non-current income taxes payable","iso4217_USD","1154000000",NA,"2008-12-31"
"52","Non-current income taxes payable","iso4217_USD","827000000",NA,"2009-12-31"
"53","Other Liabilities, Noncurrent","iso4217_USD","337000000",NA,"2008-12-31"
"54","Other Liabilities, Noncurrent","iso4217_USD","537000000",NA,"2009-12-31"
"55","Long-term debt","iso4217_USD","6952000000",NA,"2008-12-31"
"56","Long-term debt","iso4217_USD","12217000000",NA,"2009-12-31"
"57","Total liabilities and shareholders' equity","iso4217_USD","53779000000",NA,"2008-12-31"
"58","Total liabilities and shareholders' equity","iso4217_USD","62053000000",NA,"2009-12-31"
"59","Common shares issued, par value $5.00 - 1,012,261,159 shares","iso4217_USD","5061000000",NA,"2008-12-31"
"60","Common shares issued, par value $5.00 - 1,012,261,159 shares","iso4217_USD","5061000000",NA,"2009-12-31"
"61","Additional Paid in Capital","iso4217_USD","3456000000",NA,"2008-12-31"
"62","Additional Paid in Capital","iso4217_USD","3724000000",NA,"2009-12-31"
"63","Treasury shares, at cost","iso4217_USD","17758000000",NA,"2008-12-31"
"64","Treasury shares, at cost","iso4217_USD","15911000000",NA,"2009-12-31"
"65","Retained Earnings (Accumulated Deficit)","iso4217_USD","22675000000",NA,"2008-12-31"
"66","Retained Earnings (Accumulated Deficit)","iso4217_USD","22746000000",NA,"2009-12-31"
"67","Accumulated Other Comprehensive Income (Loss), Net of Tax","iso4217_USD","-13525000000",NA,"2008-12-31"
"68","Accumulated Other Comprehensive Income (Loss), Net of Tax","iso4217_USD","-11877000000",NA,"2009-12-31"
"69","ShareValue Trust shares","iso4217_USD","1203000000",NA,"2008-12-31"
"70","ShareValue Trust shares","iso4217_USD","1615000000",NA,"2009-12-31"
"71","Total Boeing shareholders' equity","iso4217_USD","-1294000000",NA,"2008-12-31"
"72","Total Boeing shareholders' equity","iso4217_USD","2128000000",NA,"2009-12-31"
"73","Noncontrolling interest","iso4217_USD","152000000",NA,"2008-12-31"
"74","Noncontrolling interest","iso4217_USD","97000000",NA,"2009-12-31"
"75","Total shareholders' equity","iso4217_USD","4792000000",NA,"2006-12-31"
"76","Total shareholders' equity","iso4217_USD","9078000000",NA,"2007-12-31"
"77","Total shareholders' equity","iso4217_USD","-1142000000",NA,"2008-12-31"
"78","Total shareholders' equity","iso4217_USD","2225000000",NA,"2009-12-31"
