"","Metric","Units","Amount","startDate","endDate"
"1","Sales and other operating revenue, including sales-based taxes","USD","239854000000","2015-01-01","2015-12-31"
"2","Sales and other operating revenue, including sales-based taxes","USD","200628000000","2016-01-01","2016-12-31"
"3","Sales and other operating revenue, including sales-based taxes","USD","237162000000","2017-01-01","2017-12-31"
"4","Income from equity affiliates","USD","7644000000","2015-01-01","2015-12-31"
"5","Income from equity affiliates","USD","4806000000","2016-01-01","2016-12-31"
"6","Income from equity affiliates","USD","5380000000","2017-01-01","2017-12-31"
"7","Other income (2)","USD","1750000000","2015-01-01","2015-12-31"
"8","Other income (2)","USD","2680000000","2016-01-01","2016-12-31"
"9","Other income (2)","USD","1821000000","2017-01-01","2017-12-31"
"10","Total revenues and other income","USD","249248000000","2015-01-01","2015-12-31"
"11","Total revenues and other income","USD","208114000000","2016-01-01","2016-12-31"
"12","Total revenues and other income","USD","244363000000","2017-01-01","2017-12-31"
"13","Crude oil and product purchases","USD","130003000000","2015-01-01","2015-12-31"
"14","Crude oil and product purchases","USD","104171000000","2016-01-01","2016-12-31"
"15","Crude oil and product purchases","USD","128217000000","2017-01-01","2017-12-31"
"16","Production and manufacturing expenses","USD","35587000000","2015-01-01","2015-12-31"
"17","Production and manufacturing expenses","USD","31927000000","2016-01-01","2016-12-31"
"18","Production and manufacturing expenses","USD","34128000000","2017-01-01","2017-12-31"
"19","Selling, general and administrative expenses","USD","11501000000","2015-01-01","2015-12-31"
"20","Selling, general and administrative expenses","USD","10799000000","2016-01-01","2016-12-31"
"21","Selling, general and administrative expenses","USD","10956000000","2017-01-01","2017-12-31"
"22","Depreciation and depletion","USD","18048000000","2015-01-01","2015-12-31"
"23","Depreciation and depletion","USD","22308000000","2016-01-01","2016-12-31"
"24","Depreciation and depletion","USD","19893000000","2017-01-01","2017-12-31"
"25","Exploration expenses, including dry holes","USD","1523000000","2015-01-01","2015-12-31"
"26","Exploration expenses, including dry holes","USD","1467000000","2016-01-01","2016-12-31"
"27","Exploration expenses, including dry holes","USD","1790000000","2017-01-01","2017-12-31"
"28","Interest expense","USD","311000000","2015-01-01","2015-12-31"
"29","Interest expense","USD","453000000","2016-01-01","2016-12-31"
"30","Interest expense","USD","601000000","2017-01-01","2017-12-31"
"31","Taxes other","USD","30309000000","2015-01-01","2015-12-31"
"32","Taxes other","USD","29020000000","2016-01-01","2016-12-31"
"33","Taxes other","USD","30104000000","2017-01-01","2017-12-31"
"34","Costs And Expenses","USD","227282000000","2015-01-01","2015-12-31"
"35","Costs And Expenses","USD","200145000000","2016-01-01","2016-12-31"
"36","Costs And Expenses","USD","225689000000","2017-01-01","2017-12-31"
"37","Income Including Equity Affiliate Earnings Before Income Taxes","USD","21966000000","2015-01-01","2015-12-31"
"38","Income Including Equity Affiliate Earnings Before Income Taxes","USD","7969000000","2016-01-01","2016-12-31"
"39","Income Including Equity Affiliate Earnings Before Income Taxes","USD","18674000000","2017-01-01","2017-12-31"
"40","Income taxes","USD","5415000000","2015-01-01","2015-12-31"
"41","Income taxes","USD","-406000000","2016-01-01","2016-12-31"
"42","Income taxes","USD","-1174000000","2017-01-01","2017-12-31"
"43","Net income for the year","USD","16551000000","2015-01-01","2015-12-31"
"44","Net income for the year","USD","8375000000","2016-01-01","2016-12-31"
"45","Net income for the year","USD","19848000000","2017-01-01","2017-12-31"
"46","Net income attributable to noncontrolling interests","USD","401000000","2015-01-01","2015-12-31"
"47","Net income attributable to noncontrolling interests","USD","535000000","2016-01-01","2016-12-31"
"48","Net income attributable to noncontrolling interests","USD","138000000","2017-01-01","2017-12-31"
"49","Net income attributable to ExxonMobil","USD","16150000000","2015-01-01","2015-12-31"
"50","Net income attributable to ExxonMobil","USD","7840000000","2016-01-01","2016-12-31"
"51","Net income attributable to ExxonMobil","USD","19710000000","2017-01-01","2017-12-31"
"52","Earnings per common share (dollars)","USDperShare","3.85","2015-01-01","2015-12-31"
"53","Earnings per common share (dollars)","USDperShare","1.88","2016-01-01","2016-12-31"
"54","Earnings per common share (dollars)","USDperShare","4.63","2017-01-01","2017-12-31"
"55","Earnings per common share - assuming dilution (dollars)","USDperShare","3.85","2015-01-01","2015-12-31"
"56","Earnings per common share - assuming dilution (dollars)","USDperShare","1.88","2016-01-01","2016-12-31"
"57","Earnings per common share - assuming dilution (dollars)","USDperShare","4.63","2017-01-01","2017-12-31"
