"","Metric","Units","Amount","startDate","endDate"
"1","Sales and other operating revenue, including sales-based taxes","USDollar","370125000000","2010-01-01","2010-12-31"
"2","Sales and other operating revenue, including sales-based taxes","USDollar","467029000000","2011-01-01","2011-12-31"
"3","Sales and other operating revenue, including sales-based taxes","USDollar","453123000000","2012-01-01","2012-12-31"
"4","Income from equity affiliates","USDollar","10677000000","2010-01-01","2010-12-31"
"5","Income from equity affiliates","USDollar","15289000000","2011-01-01","2011-12-31"
"6","Income from equity affiliates","USDollar","15010000000","2012-01-01","2012-12-31"
"7","Other income (2)","USDollar","2419000000","2010-01-01","2010-12-31"
"8","Other income (2)","USDollar","4111000000","2011-01-01","2011-12-31"
"9","Other income (2)","USDollar","14162000000","2012-01-01","2012-12-31"
"10","Total revenues and other income","USDollar","383221000000","2010-01-01","2010-12-31"
"11","Total revenues and other income","USDollar","486429000000","2011-01-01","2011-12-31"
"12","Total revenues and other income","USDollar","482295000000","2012-01-01","2012-12-31"
"13","Crude oil and product purchases","USDollar","197959000000","2010-01-01","2010-12-31"
"14","Crude oil and product purchases","USDollar","266534000000","2011-01-01","2011-12-31"
"15","Crude oil and product purchases","USDollar","265149000000","2012-01-01","2012-12-31"
"16","Production and manufacturing expenses","USDollar","35792000000","2010-01-01","2010-12-31"
"17","Production and manufacturing expenses","USDollar","40268000000","2011-01-01","2011-12-31"
"18","Production and manufacturing expenses","USDollar","38521000000","2012-01-01","2012-12-31"
"19","Selling, general and administrative expenses","USDollar","14683000000","2010-01-01","2010-12-31"
"20","Selling, general and administrative expenses","USDollar","14983000000","2011-01-01","2011-12-31"
"21","Selling, general and administrative expenses","USDollar","13877000000","2012-01-01","2012-12-31"
"22","Depreciation and depletion","USDollar","14760000000","2010-01-01","2010-12-31"
"23","Depreciation and depletion","USDollar","15583000000","2011-01-01","2011-12-31"
"24","Depreciation and depletion","USDollar","15888000000","2012-01-01","2012-12-31"
"25","Exploration expenses, including dry holes","USDollar","2144000000","2010-01-01","2010-12-31"
"26","Exploration expenses, including dry holes","USDollar","2081000000","2011-01-01","2011-12-31"
"27","Exploration expenses, including dry holes","USDollar","1840000000","2012-01-01","2012-12-31"
"28","Interest expense","USDollar","259000000","2010-01-01","2010-12-31"
"29","Interest expense","USDollar","247000000","2011-01-01","2011-12-31"
"30","Interest expense","USDollar","327000000","2012-01-01","2012-12-31"
"31","Sales and other operating revenue, sales-based taxes","USDollar","28547000000","2010-01-01","2010-12-31"
"32","Sales and other operating revenue, sales-based taxes","USDollar","33503000000","2011-01-01","2011-12-31"
"33","Sales and other operating revenue, sales-based taxes","USDollar","32409000000","2012-01-01","2012-12-31"
"34","Taxes other","USDollar","36118000000","2010-01-01","2010-12-31"
"35","Taxes other","USDollar","39973000000","2011-01-01","2011-12-31"
"36","Taxes other","USDollar","35558000000","2012-01-01","2012-12-31"
"37","Costs And Expenses","USDollar","330262000000","2010-01-01","2010-12-31"
"38","Costs And Expenses","USDollar","413172000000","2011-01-01","2011-12-31"
"39","Costs And Expenses","USDollar","403569000000","2012-01-01","2012-12-31"
"40","Income Including Equity Affiliate Earnings Before Income Taxes","USDollar","52959000000","2010-01-01","2010-12-31"
"41","Income Including Equity Affiliate Earnings Before Income Taxes","USDollar","73257000000","2011-01-01","2011-12-31"
"42","Income Including Equity Affiliate Earnings Before Income Taxes","USDollar","78726000000","2012-01-01","2012-12-31"
"43","Income taxes","USDollar","21561000000","2010-01-01","2010-12-31"
"44","Income taxes","USDollar","31051000000","2011-01-01","2011-12-31"
"45","Income taxes","USDollar","31045000000","2012-01-01","2012-12-31"
"46","Net income for the year","USDollar","31398000000","2010-01-01","2010-12-31"
"47","Net income for the year","USDollar","42206000000","2011-01-01","2011-12-31"
"48","Net income for the year","USDollar","47681000000","2012-01-01","2012-12-31"
"49","Net income attributable to noncontrolling interests","USDollar","938000000","2010-01-01","2010-12-31"
"50","Net income attributable to noncontrolling interests","USDollar","1146000000","2011-01-01","2011-12-31"
"51","Net income attributable to noncontrolling interests","USDollar","2801000000","2012-01-01","2012-12-31"
"52","Net income attributable to ExxonMobil","USDollar","30460000000","2010-01-01","2010-12-31"
"53","Net income attributable to ExxonMobil","USDollar","41060000000","2011-01-01","2011-12-31"
"54","Net income attributable to ExxonMobil","USDollar","44880000000","2012-01-01","2012-12-31"
"55","Earnings per common share (dollars)","USDperShare","6.24","2010-01-01","2010-12-31"
"56","Earnings per common share (dollars)","USDperShare","8.43","2011-01-01","2011-12-31"
"57","Earnings per common share (dollars)","USDperShare","9.70","2012-01-01","2012-12-31"
"58","Earnings per common share - assuming dilution (dollars)","USDperShare","6.22","2010-01-01","2010-12-31"
"59","Earnings per common share - assuming dilution (dollars)","USDperShare","8.42","2011-01-01","2011-12-31"
"60","Earnings per common share - assuming dilution (dollars)","USDperShare","9.70","2012-01-01","2012-12-31"
