"","Metric","Units","Amount","startDate","endDate"
"1","Sales and other operating revenue, including sales-based taxes","USD","420836000000","2013-01-01","2013-12-31"
"2","Sales and other operating revenue, including sales-based taxes","USD","394105000000","2014-01-01","2014-12-31"
"3","Sales and other operating revenue, including sales-based taxes","USD","259488000000","2015-01-01","2015-12-31"
"4","Income from equity affiliates","USD","13927000000","2013-01-01","2013-12-31"
"5","Income from equity affiliates","USD","13323000000","2014-01-01","2014-12-31"
"6","Income from equity affiliates","USD","7644000000","2015-01-01","2015-12-31"
"7","Other income (2)","USD","3492000000","2013-01-01","2013-12-31"
"8","Other income (2)","USD","4511000000","2014-01-01","2014-12-31"
"9","Other income (2)","USD","1750000000","2015-01-01","2015-12-31"
"10","Total revenues and other income","USD","438255000000","2013-01-01","2013-12-31"
"11","Total revenues and other income","USD","411939000000","2014-01-01","2014-12-31"
"12","Total revenues and other income","USD","268882000000","2015-01-01","2015-12-31"
"13","Crude oil and product purchases","USD","244156000000","2013-01-01","2013-12-31"
"14","Crude oil and product purchases","USD","225972000000","2014-01-01","2014-12-31"
"15","Crude oil and product purchases","USD","130003000000","2015-01-01","2015-12-31"
"16","Production and manufacturing expenses","USD","40525000000","2013-01-01","2013-12-31"
"17","Production and manufacturing expenses","USD","40859000000","2014-01-01","2014-12-31"
"18","Production and manufacturing expenses","USD","35587000000","2015-01-01","2015-12-31"
"19","Selling, general and administrative expenses","USD","12877000000","2013-01-01","2013-12-31"
"20","Selling, general and administrative expenses","USD","12598000000","2014-01-01","2014-12-31"
"21","Selling, general and administrative expenses","USD","11501000000","2015-01-01","2015-12-31"
"22","Depreciation and depletion","USD","17182000000","2013-01-01","2013-12-31"
"23","Depreciation and depletion","USD","17297000000","2014-01-01","2014-12-31"
"24","Depreciation and depletion","USD","18048000000","2015-01-01","2015-12-31"
"25","Exploration expenses, including dry holes","USD","1976000000","2013-01-01","2013-12-31"
"26","Exploration expenses, including dry holes","USD","1669000000","2014-01-01","2014-12-31"
"27","Exploration expenses, including dry holes","USD","1523000000","2015-01-01","2015-12-31"
"28","Interest expense","USD","9000000","2013-01-01","2013-12-31"
"29","Interest expense","USD","286000000","2014-01-01","2014-12-31"
"30","Interest expense","USD","311000000","2015-01-01","2015-12-31"
"31","Sales-based taxes included in sales and other operating revenue","USD","30589000000","2013-01-01","2013-12-31"
"32","Sales-based taxes included in sales and other operating revenue","USD","29342000000","2014-01-01","2014-12-31"
"33","Sales-based taxes included in sales and other operating revenue","USD","22678000000","2015-01-01","2015-12-31"
"34","Taxes other","USD","33230000000","2013-01-01","2013-12-31"
"35","Taxes other","USD","32286000000","2014-01-01","2014-12-31"
"36","Taxes other","USD","27265000000","2015-01-01","2015-12-31"
"37","Costs And Expenses","USD","380544000000","2013-01-01","2013-12-31"
"38","Costs And Expenses","USD","360309000000","2014-01-01","2014-12-31"
"39","Costs And Expenses","USD","246916000000","2015-01-01","2015-12-31"
"40","Income Including Equity Affiliate Earnings Before Income Taxes","USD","57711000000","2013-01-01","2013-12-31"
"41","Income Including Equity Affiliate Earnings Before Income Taxes","USD","51630000000","2014-01-01","2014-12-31"
"42","Income Including Equity Affiliate Earnings Before Income Taxes","USD","21966000000","2015-01-01","2015-12-31"
"43","Income taxes","USD","24263000000","2013-01-01","2013-12-31"
"44","Income taxes","USD","18015000000","2014-01-01","2014-12-31"
"45","Income taxes","USD","5415000000","2015-01-01","2015-12-31"
"46","Net income for the year","USD","33448000000","2013-01-01","2013-12-31"
"47","Net income for the year","USD","33615000000","2014-01-01","2014-12-31"
"48","Net income for the year","USD","16551000000","2015-01-01","2015-12-31"
"49","Net income attributable to noncontrolling interests","USD","868000000","2013-01-01","2013-12-31"
"50","Net income attributable to noncontrolling interests","USD","1095000000","2014-01-01","2014-12-31"
"51","Net income attributable to noncontrolling interests","USD","401000000","2015-01-01","2015-12-31"
"52","Net income attributable to ExxonMobil","USD","32580000000","2013-01-01","2013-12-31"
"53","Net income attributable to ExxonMobil","USD","32520000000","2014-01-01","2014-12-31"
"54","Net income attributable to ExxonMobil","USD","16150000000","2015-01-01","2015-12-31"
"55","Earnings per common share (dollars)","USDperShare","7.37","2013-01-01","2013-12-31"
"56","Earnings per common share (dollars)","USDperShare","7.6","2014-01-01","2014-12-31"
"57","Earnings per common share (dollars)","USDperShare","3.85","2015-01-01","2015-12-31"
"58","Earnings per common share - assuming dilution (dollars)","USDperShare","7.37","2013-01-01","2013-12-31"
"59","Earnings per common share - assuming dilution (dollars)","USDperShare","7.6","2014-01-01","2014-12-31"
"60","Earnings per common share - assuming dilution (dollars)","USDperShare","3.85","2015-01-01","2015-12-31"
