"","Metric","Units","Amount","startDate","endDate"
"1","Fixed assets, net","iso4217_USD","1290000000",NA,"2009-12-31"
"2","Fixed assets, net","iso4217_USD","2414000000",NA,"2010-12-31"
"3","Deferred Tax Assets, Net, Noncurrent","iso4217_USD","18000000",NA,"2009-12-31"
"4","Deferred Tax Assets, Net, Noncurrent","iso4217_USD","22000000",NA,"2010-12-31"
"5","Goodwill","iso4217_USD","438000000",NA,"2008-12-31"
"6","Goodwill","iso4217_USD","1234000000",NA,"2009-12-31"
"7","Goodwill","iso4217_USD","1349000000",NA,"2010-12-31"
"8","Other Assets, Noncurrent","iso4217_USD","1474000000",NA,"2009-12-31"
"9","Other Assets, Noncurrent","iso4217_USD","1265000000",NA,"2010-12-31"
"10","Total assets","iso4217_USD","13813000000",NA,"2009-12-31"
"11","Total assets","iso4217_USD","18797000000",NA,"2010-12-31"
"12","Cash and Cash Equivalents, at Carrying Value","iso4217_USD","2539000000",NA,"2007-12-31"
"13","Cash and Cash Equivalents, at Carrying Value","iso4217_USD","2769000000",NA,"2008-12-31"
"14","Cash and Cash Equivalents, at Carrying Value","iso4217_USD","3444000000",NA,"2009-12-31"
"15","Cash and Cash Equivalents, at Carrying Value","iso4217_USD","3777000000",NA,"2010-12-31"
"16","Marketable securities","iso4217_USD","2922000000",NA,"2009-12-31"
"17","Marketable securities","iso4217_USD","4985000000",NA,"2010-12-31"
"18","Inventory, Net","iso4217_USD","2171000000",NA,"2009-12-31"
"19","Inventory, Net","iso4217_USD","3202000000",NA,"2010-12-31"
"20","Accounts receivable, net","iso4217_USD","988000000",NA,"2009-12-31"
"21","Accounts receivable, net","iso4217_USD","1587000000",NA,"2010-12-31"
"22","Deferred Tax Assets, Net, Current","iso4217_USD","272000000",NA,"2009-12-31"
"23","Deferred Tax Assets, Net, Current","iso4217_USD","196000000",NA,"2010-12-31"
"24","Total current assets","iso4217_USD","9797000000",NA,"2009-12-31"
"25","Total current assets","iso4217_USD","13747000000",NA,"2010-12-31"
"26","Other Liabilities, Noncurrent","iso4217_USD","1192000000",NA,"2009-12-31"
"27","Other Liabilities, Noncurrent","iso4217_USD","1561000000",NA,"2010-12-31"
"28","Commitments and contingencies",NA,NA,"2009-01-01","2009-12-31"
"29","Commitments and contingencies",NA,NA,"2010-01-01","2010-12-31"
"30","Total liabilities and stockholders' equity","iso4217_USD","13813000000",NA,"2009-12-31"
"31","Total liabilities and stockholders' equity","iso4217_USD","18797000000",NA,"2010-12-31"
"32","Accounts Payable, Current","iso4217_USD","5605000000",NA,"2009-12-31"
"33","Accounts Payable, Current","iso4217_USD","8051000000",NA,"2010-12-31"
"34","Accrued Liabilities, Current","iso4217_USD","1759000000",NA,"2009-12-31"
"35","Accrued Liabilities, Current","iso4217_USD","2321000000",NA,"2010-12-31"
"36","Total current liabilities","iso4217_USD","7364000000",NA,"2009-12-31"
"37","Total current liabilities","iso4217_USD","10372000000",NA,"2010-12-31"
"38","Preferred stock, $0.01 par value: Authorized shares-500 Issued and outstanding shares-none","iso4217_USD",NA,NA,"2009-12-31"
"39","Preferred stock, $0.01 par value: Authorized shares-500 Issued and outstanding shares-none","iso4217_USD",NA,NA,"2010-12-31"
"40","Common stock, $0.01 par value: Authorized shares-5,000 Issued shares-468 and 461 Outstanding shares-451 and 444","iso4217_USD","5000000",NA,"2009-12-31"
"41","Common stock, $0.01 par value: Authorized shares-5,000 Issued shares-468 and 461 Outstanding shares-451 and 444","iso4217_USD","5000000",NA,"2010-12-31"
"42","Treasury stock, at cost","iso4217_USD","600000000",NA,"2009-12-31"
"43","Treasury stock, at cost","iso4217_USD","600000000",NA,"2010-12-31"
"44","Additional Paid in Capital","iso4217_USD","5736000000",NA,"2009-12-31"
"45","Additional Paid in Capital","iso4217_USD","6325000000",NA,"2010-12-31"
"46","Total accumulated other comprehensive income (loss)","iso4217_USD","-56000000",NA,"2009-12-31"
"47","Total accumulated other comprehensive income (loss)","iso4217_USD","-190000000",NA,"2010-12-31"
"48","Retained earnings","iso4217_USD","172000000",NA,"2009-12-31"
"49","Retained earnings","iso4217_USD","1324000000",NA,"2010-12-31"
"50","Total stockholders' equity","iso4217_USD","1197000000",NA,"2007-12-31"
"51","Total stockholders' equity","iso4217_USD","2672000000",NA,"2008-12-31"
"52","Total stockholders' equity","iso4217_USD","5257000000",NA,"2009-12-31"
"53","Total stockholders' equity","iso4217_USD","6864000000",NA,"2010-12-31"
