"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Cash Equivalents, at Carrying Value","usd","5269000000",NA,"2011-12-31"
"2","Cash and Cash Equivalents, at Carrying Value","usd","8084000000",NA,"2012-12-31"
"3","Cash and Cash Equivalents, at Carrying Value","usd","8658000000",NA,"2013-12-31"
"4","Cash and Cash Equivalents, at Carrying Value","usd","3777000000",NA,"2010-12-31"
"5","Marketable Securities, Current","usd","3364000000",NA,"2012-12-31"
"6","Marketable Securities, Current","usd","3789000000",NA,"2013-12-31"
"7","Inventory, Net","usd","6031000000",NA,"2012-12-31"
"8","Inventory, Net","usd","7411000000",NA,"2013-12-31"
"9","Accounts Receivable, Net, Current","usd","3817000000",NA,"2012-12-31"
"10","Accounts Receivable, Net, Current","usd","4767000000",NA,"2013-12-31"
"11","Assets, Current","usd","21296000000",NA,"2012-12-31"
"12","Assets, Current","usd","24625000000",NA,"2013-12-31"
"13","Property, Plant and Equipment, Net","usd","7060000000",NA,"2012-12-31"
"14","Property, Plant and Equipment, Net","usd","10949000000",NA,"2013-12-31"
"15","Goodwill","usd","1955000000",NA,"2011-12-31"
"16","Goodwill","usd","2552000000",NA,"2012-12-31"
"17","Goodwill","usd","2655000000",NA,"2013-12-31"
"18","Other Assets, Noncurrent","usd","1647000000",NA,"2012-12-31"
"19","Other Assets, Noncurrent","usd","1930000000",NA,"2013-12-31"
"20","Assets","usd","32555000000",NA,"2012-12-31"
"21","Assets","usd","40159000000",NA,"2013-12-31"
"22","Accounts Payable, Current","usd","13318000000",NA,"2012-12-31"
"23","Accounts Payable, Current","usd","15133000000",NA,"2013-12-31"
"24","Accrued Liabilities, Current","usd","4892000000",NA,"2012-12-31"
"25","Accrued Liabilities, Current","usd","6688000000",NA,"2013-12-31"
"26","Deferred Revenue, Current","usd","792000000",NA,"2012-12-31"
"27","Deferred Revenue, Current","usd","1159000000",NA,"2013-12-31"
"28","Liabilities, Current","usd","19002000000",NA,"2012-12-31"
"29","Liabilities, Current","usd","22980000000",NA,"2013-12-31"
"30","Long-term Debt, Excluding Current Maturities","usd","3084000000",NA,"2012-12-31"
"31","Long-term Debt, Excluding Current Maturities","usd","3191000000",NA,"2013-12-31"
"32","Other Liabilities, Noncurrent","usd","2277000000",NA,"2012-12-31"
"33","Other Liabilities, Noncurrent","usd","4242000000",NA,"2013-12-31"
"34","Commitments and Contingencies","usd",NA,NA,"2012-12-31"
"35","Commitments and Contingencies","usd",NA,NA,"2013-12-31"
"36","Preferred Stock, Value, Issued","usd","0",NA,"2012-12-31"
"37","Preferred Stock, Value, Issued","usd","0",NA,"2013-12-31"
"38","Common Stock, Value, Issued","usd","5000000",NA,"2012-12-31"
"39","Common Stock, Value, Issued","usd","5000000",NA,"2013-12-31"
"40","Treasury Stock, Value","usd","1837000000",NA,"2012-12-31"
"41","Treasury Stock, Value","usd","1837000000",NA,"2013-12-31"
"42","Additional Paid in Capital","usd","8347000000",NA,"2012-12-31"
"43","Additional Paid in Capital","usd","9573000000",NA,"2013-12-31"
"44","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-316000000",NA,"2011-12-31"
"45","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-239000000",NA,"2012-12-31"
"46","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-185000000",NA,"2013-12-31"
"47","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-190000000",NA,"2010-12-31"
"48","Retained Earnings (Accumulated Deficit)","usd","1916000000",NA,"2012-12-31"
"49","Retained Earnings (Accumulated Deficit)","usd","2190000000",NA,"2013-12-31"
"50","Stockholders' Equity Attributable to Parent","usd","7757000000",NA,"2011-12-31"
"51","Stockholders' Equity Attributable to Parent","usd","8192000000",NA,"2012-12-31"
"52","Stockholders' Equity Attributable to Parent","usd","9746000000",NA,"2013-12-31"
"53","Stockholders' Equity Attributable to Parent","usd","6864000000",NA,"2010-12-31"
"54","Liabilities and Equity","usd","32555000000",NA,"2012-12-31"
"55","Liabilities and Equity","usd","40159000000",NA,"2013-12-31"
