"","Metric","Units","Amount","startDate","endDate"
"1","Property Plant And Equipment Net","iso4217_USD","4417000000",NA,"2011-12-31"
"2","Property Plant And Equipment Net","iso4217_USD","7060000000",NA,"2012-12-31"
"3","Deferred Tax Assets Net Noncurrent","iso4217_USD","28000000",NA,"2011-12-31"
"4","Deferred Tax Assets Net Noncurrent","iso4217_USD","123000000",NA,"2012-12-31"
"5","Goodwill","iso4217_USD","1349000000",NA,"2010-12-31"
"6","Goodwill","iso4217_USD","1955000000",NA,"2011-12-31"
"7","Goodwill","iso4217_USD","2552000000",NA,"2012-12-31"
"8","Other Assets Noncurrent","iso4217_USD","1388000000",NA,"2011-12-31"
"9","Other Assets Noncurrent","iso4217_USD","1524000000",NA,"2012-12-31"
"10","Assets","iso4217_USD","25278000000",NA,"2011-12-31"
"11","Assets","iso4217_USD","32555000000",NA,"2012-12-31"
"12","Cash And Cash Equivalents At Carrying Value","iso4217_USD","3444000000",NA,"2009-12-31"
"13","Cash And Cash Equivalents At Carrying Value","iso4217_USD","3777000000",NA,"2010-12-31"
"14","Cash And Cash Equivalents At Carrying Value","iso4217_USD","5269000000",NA,"2011-12-31"
"15","Cash And Cash Equivalents At Carrying Value","iso4217_USD","8084000000",NA,"2012-12-31"
"16","Marketable Securities Current","iso4217_USD","4307000000",NA,"2011-12-31"
"17","Marketable Securities Current","iso4217_USD","3364000000",NA,"2012-12-31"
"18","Inventory Net","iso4217_USD","4992000000",NA,"2011-12-31"
"19","Inventory Net","iso4217_USD","6031000000",NA,"2012-12-31"
"20","Accounts Receivable Net Current","iso4217_USD","2571000000",NA,"2011-12-31"
"21","Accounts Receivable Net Current","iso4217_USD","3364000000",NA,"2012-12-31"
"22","Deferred Tax Assets Net Current","iso4217_USD","351000000",NA,"2011-12-31"
"23","Deferred Tax Assets Net Current","iso4217_USD","453000000",NA,"2012-12-31"
"24","Assets Current","iso4217_USD","17490000000",NA,"2011-12-31"
"25","Assets Current","iso4217_USD","21296000000",NA,"2012-12-31"
"26","Long Term Debt Noncurrent","iso4217_USD","255000000",NA,"2011-12-31"
"27","Long Term Debt Noncurrent","iso4217_USD","3084000000",NA,"2012-12-31"
"28","Other Liabilities Noncurrent","iso4217_USD","2370000000",NA,"2011-12-31"
"29","Other Liabilities Noncurrent","iso4217_USD","2277000000",NA,"2012-12-31"
"30","Commitments And Contingencies","iso4217_USD",NA,NA,"2011-12-31"
"31","Commitments And Contingencies","iso4217_USD",NA,NA,"2012-12-31"
"32","Liabilities And Stockholders Equity","iso4217_USD","25278000000",NA,"2011-12-31"
"33","Liabilities And Stockholders Equity","iso4217_USD","32555000000",NA,"2012-12-31"
"34","Accounts Payable Current","iso4217_USD","11145000000",NA,"2011-12-31"
"35","Accounts Payable Current","iso4217_USD","13318000000",NA,"2012-12-31"
"36","Accrued Liabilities Current","iso4217_USD","3751000000",NA,"2011-12-31"
"37","Accrued Liabilities Current","iso4217_USD","5684000000",NA,"2012-12-31"
"38","Liabilities Current","iso4217_USD","14896000000",NA,"2011-12-31"
"39","Liabilities Current","iso4217_USD","19002000000",NA,"2012-12-31"
"40","Preferred Stock Value","iso4217_USD",NA,NA,"2011-12-31"
"41","Preferred Stock Value","iso4217_USD",NA,NA,"2012-12-31"
"42","Common Stock Value","iso4217_USD","5000000",NA,"2011-12-31"
"43","Common Stock Value","iso4217_USD","5000000",NA,"2012-12-31"
"44","Treasury Stock Value","iso4217_USD","877000000",NA,"2011-12-31"
"45","Treasury Stock Value","iso4217_USD","1837000000",NA,"2012-12-31"
"46","Additional Paid In Capital","iso4217_USD","6990000000",NA,"2011-12-31"
"47","Additional Paid In Capital","iso4217_USD","8347000000",NA,"2012-12-31"
"48","Accumulated Other Comprehensive Income Loss Net Of Tax","iso4217_USD","-56000000",NA,"2009-12-31"
"49","Accumulated Other Comprehensive Income Loss Net Of Tax","iso4217_USD","-190000000",NA,"2010-12-31"
"50","Accumulated Other Comprehensive Income Loss Net Of Tax","iso4217_USD","-316000000",NA,"2011-12-31"
"51","Accumulated Other Comprehensive Income Loss Net Of Tax","iso4217_USD","-239000000",NA,"2012-12-31"
"52","Retained Earnings Accumulated Deficit","iso4217_USD","1955000000",NA,"2011-12-31"
"53","Retained Earnings Accumulated Deficit","iso4217_USD","1916000000",NA,"2012-12-31"
"54","Stockholders Equity","iso4217_USD","5257000000",NA,"2009-12-31"
"55","Stockholders Equity","iso4217_USD","6864000000",NA,"2010-12-31"
"56","Stockholders Equity","iso4217_USD","7757000000",NA,"2011-12-31"
"57","Stockholders Equity","iso4217_USD","8192000000",NA,"2012-12-31"
