"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Cash Equivalents, at Carrying Value","usd","8084000000",NA,"2012-12-31"
"2","Cash and Cash Equivalents, at Carrying Value","usd","8658000000",NA,"2013-12-31"
"3","Cash and Cash Equivalents, at Carrying Value","usd","14557000000",NA,"2014-12-31"
"4","Cash and Cash Equivalents, at Carrying Value","usd","15890000000",NA,"2015-12-31"
"5","Marketable Securities, Current","usd","2859000000",NA,"2014-12-31"
"6","Marketable Securities, Current","usd","3918000000",NA,"2015-12-31"
"7","Inventory, Net","usd","8299000000",NA,"2014-12-31"
"8","Inventory, Net","usd","10243000000",NA,"2015-12-31"
"9","Accounts Receivable, Net, Current","usd","5612000000",NA,"2014-12-31"
"10","Accounts Receivable, Net, Current","usd","6423000000",NA,"2015-12-31"
"11","Assets, Current","usd","31327000000",NA,"2014-12-31"
"12","Assets, Current","usd","36474000000",NA,"2015-12-31"
"13","Property, Plant and Equipment, Net","usd","10949000000",NA,"2013-12-31"
"14","Property, Plant and Equipment, Net","usd","16967000000",NA,"2014-12-31"
"15","Property, Plant and Equipment, Net","usd","21838000000",NA,"2015-12-31"
"16","Goodwill","usd","2655000000",NA,"2013-12-31"
"17","Goodwill","usd","3319000000",NA,"2014-12-31"
"18","Goodwill","usd","3759000000",NA,"2015-12-31"
"19","Other Assets, Noncurrent","usd","2892000000",NA,"2014-12-31"
"20","Other Assets, Noncurrent","usd","3373000000",NA,"2015-12-31"
"21","Assets","usd","40159000000",NA,"2013-12-31"
"22","Assets","usd","54505000000",NA,"2014-12-31"
"23","Assets","usd","65444000000",NA,"2015-12-31"
"24","Accounts Payable, Current","usd","16459000000",NA,"2014-12-31"
"25","Accounts Payable, Current","usd","20397000000",NA,"2015-12-31"
"26","Accrued Liabilities, Current","usd","9807000000",NA,"2014-12-31"
"27","Accrued Liabilities, Current","usd","10384000000",NA,"2015-12-31"
"28","Deferred Revenue, Current","usd","1823000000",NA,"2014-12-31"
"29","Deferred Revenue, Current","usd","3118000000",NA,"2015-12-31"
"30","Liabilities, Current","usd","28089000000",NA,"2014-12-31"
"31","Liabilities, Current","usd","33899000000",NA,"2015-12-31"
"32","Long-term Debt, Excluding Current Maturities","usd","8265000000",NA,"2014-12-31"
"33","Long-term Debt, Excluding Current Maturities","usd","8235000000",NA,"2015-12-31"
"34","Other Liabilities, Noncurrent","usd","7410000000",NA,"2014-12-31"
"35","Other Liabilities, Noncurrent","usd","9926000000",NA,"2015-12-31"
"36","Commitments and Contingencies","usd",NA,NA,"2014-12-31"
"37","Commitments and Contingencies","usd",NA,NA,"2015-12-31"
"38","Preferred Stock, Value, Issued","usd","0",NA,"2014-12-31"
"39","Preferred Stock, Value, Issued","usd","0",NA,"2015-12-31"
"40","Common Stock, Value, Issued","usd","5000000",NA,"2014-12-31"
"41","Common Stock, Value, Issued","usd","5000000",NA,"2015-12-31"
"42","Treasury Stock, Value","usd","1837000000",NA,"2014-12-31"
"43","Treasury Stock, Value","usd","1837000000",NA,"2015-12-31"
"44","Additional Paid in Capital","usd","11135000000",NA,"2014-12-31"
"45","Additional Paid in Capital","usd","13394000000",NA,"2015-12-31"
"46","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-239000000",NA,"2012-12-31"
"47","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-185000000",NA,"2013-12-31"
"48","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-511000000",NA,"2014-12-31"
"49","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-723000000",NA,"2015-12-31"
"50","Retained Earnings (Accumulated Deficit)","usd","1949000000",NA,"2014-12-31"
"51","Retained Earnings (Accumulated Deficit)","usd","2545000000",NA,"2015-12-31"
"52","Stockholders' Equity Attributable to Parent","usd","8192000000",NA,"2012-12-31"
"53","Stockholders' Equity Attributable to Parent","usd","9746000000",NA,"2013-12-31"
"54","Stockholders' Equity Attributable to Parent","usd","10741000000",NA,"2014-12-31"
"55","Stockholders' Equity Attributable to Parent","usd","13384000000",NA,"2015-12-31"
"56","Liabilities and Equity","usd","54505000000",NA,"2014-12-31"
"57","Liabilities and Equity","usd","65444000000",NA,"2015-12-31"
