"","Metric","Units","Amount","startDate","endDate"
"1","Interest expense","iso4217_USD","-115000000","2008-10-01","2009-09-30"
"2","Interest expense","iso4217_USD","-72000000","2009-10-01","2010-09-30"
"3","Interest expense","iso4217_USD","-32000000","2010-10-01","2011-09-30"
"4","Investment income, net","iso4217_USD","575000000","2008-10-01","2009-09-30"
"5","Investment income, net","iso4217_USD","49000000","2009-10-01","2010-09-30"
"6","Investment income, net","iso4217_USD","108000000","2010-10-01","2011-09-30"
"7","Other Nonoperating Income (Expense)","iso4217_USD","2000000","2008-10-01","2009-09-30"
"8","Other Nonoperating Income (Expense)","iso4217_USD","72000000","2009-10-01","2010-09-30"
"9","Other Nonoperating Income (Expense)","iso4217_USD","124000000","2010-10-01","2011-09-30"
"10","Total other income","iso4217_USD","462000000","2008-10-01","2009-09-30"
"11","Total other income","iso4217_USD","49000000","2009-10-01","2010-09-30"
"12","Total other income","iso4217_USD","200000000","2010-10-01","2011-09-30"
"13","Personnel","iso4217_USD","1228000000","2008-10-01","2009-09-30"
"14","Personnel","iso4217_USD","1222000000","2009-10-01","2010-09-30"
"15","Personnel","iso4217_USD","1459000000","2010-10-01","2011-09-30"
"16","Network and processing","iso4217_USD","393000000","2008-10-01","2009-09-30"
"17","Network and processing","iso4217_USD","425000000","2009-10-01","2010-09-30"
"18","Network and processing","iso4217_USD","357000000","2010-10-01","2011-09-30"
"19","Marketing and Advertising Expense","iso4217_USD","918000000","2008-10-01","2009-09-30"
"20","Marketing and Advertising Expense","iso4217_USD","964000000","2009-10-01","2010-09-30"
"21","Marketing and Advertising Expense","iso4217_USD","870000000","2010-10-01","2011-09-30"
"22","Professional fees","iso4217_USD","268000000","2008-10-01","2009-09-30"
"23","Professional fees","iso4217_USD","286000000","2009-10-01","2010-09-30"
"24","Professional fees","iso4217_USD","337000000","2010-10-01","2011-09-30"
"25","Amortization expense related to finite-lived intangible assets","iso4217_USD","226000000","2008-10-01","2009-09-30"
"26","Amortization expense related to finite-lived intangible assets","iso4217_USD","265000000","2009-10-01","2010-09-30"
"27","Amortization expense related to finite-lived intangible assets","iso4217_USD","288000000","2010-10-01","2011-09-30"
"28","General and administrative","iso4217_USD","338000000","2008-10-01","2009-09-30"
"29","General and administrative","iso4217_USD","359000000","2009-10-01","2010-09-30"
"30","General and administrative","iso4217_USD","414000000","2010-10-01","2011-09-30"
"31","Litigation provision (Note 21)","iso4217_USD","-2000000","2008-10-01","2009-09-30"
"32","Litigation provision (Note 21)","iso4217_USD","45000000","2009-10-01","2010-09-30"
"33","Litigation provision (Note 21)","iso4217_USD","-7000000","2010-10-01","2011-09-30"
"34","Total operating expenses","iso4217_USD","3373000000","2008-10-01","2009-09-30"
"35","Total operating expenses","iso4217_USD","3476000000","2009-10-01","2010-09-30"
"36","Total operating expenses","iso4217_USD","3732000000","2010-10-01","2011-09-30"
"37","Service revenues","iso4217_USD","3174000000","2008-10-01","2009-09-30"
"38","Service revenues","iso4217_USD","3497000000","2009-10-01","2010-09-30"
"39","Service revenues","iso4217_USD","4261000000","2010-10-01","2011-09-30"
"40","Data processing revenues","iso4217_USD","2430000000","2008-10-01","2009-09-30"
"41","Data processing revenues","iso4217_USD","3125000000","2009-10-01","2010-09-30"
"42","Data processing revenues","iso4217_USD","3478000000","2010-10-01","2011-09-30"
"43","International transaction revenues","iso4217_USD","1916000000","2008-10-01","2009-09-30"
"44","International transaction revenues","iso4217_USD","2290000000","2009-10-01","2010-09-30"
"45","International transaction revenues","iso4217_USD","2674000000","2010-10-01","2011-09-30"
"46","Other revenues","iso4217_USD","625000000","2008-10-01","2009-09-30"
"47","Other revenues","iso4217_USD","713000000","2009-10-01","2010-09-30"
"48","Other revenues","iso4217_USD","655000000","2010-10-01","2011-09-30"
"49","Client Incentives","iso4217_USD","1234000000","2008-10-01","2009-09-30"
"50","Client Incentives","iso4217_USD","1560000000","2009-10-01","2010-09-30"
"51","Client Incentives","iso4217_USD","1880000000","2010-10-01","2011-09-30"
"52","Total operating revenues","iso4217_USD","6911000000","2008-10-01","2009-09-30"
"53","Total operating revenues","iso4217_USD","8065000000","2009-10-01","2010-09-30"
"54","Total operating revenues","iso4217_USD","9188000000","2010-10-01","2011-09-30"
"55","Total operating revenues","iso4217_USD","1959000000","2010-01-01","2010-03-31"
"56","Total operating revenues","iso4217_USD","2245000000","2011-01-01","2011-03-31"
"57","Total operating revenues","iso4217_USD","2029000000","2010-04-01","2010-06-30"
"58","Total operating revenues","iso4217_USD","2322000000","2011-04-01","2011-06-30"
"59","Total operating revenues","iso4217_USD","1960000000","2009-10-01","2009-12-31"
"60","Total operating revenues","iso4217_USD","2117000000","2010-07-01","2010-09-30"
"61","Total operating revenues","iso4217_USD","2238000000","2010-10-01","2010-12-31"
"62","Total operating revenues","iso4217_USD","2383000000","2011-07-01","2011-09-30"
"63","Operating income","iso4217_USD","3538000000","2008-10-01","2009-09-30"
"64","Operating income","iso4217_USD","4589000000","2009-10-01","2010-09-30"
"65","Operating income","iso4217_USD","5456000000","2010-10-01","2011-09-30"
"66","Operating income","iso4217_USD","1122000000","2010-01-01","2010-03-31"
"67","Operating income","iso4217_USD","1383000000","2011-01-01","2011-03-31"
"68","Operating income","iso4217_USD","1137000000","2010-04-01","2010-06-30"
"69","Operating income","iso4217_USD","1345000000","2011-04-01","2011-06-30"
"70","Operating income","iso4217_USD","1217000000","2009-10-01","2009-12-31"
"71","Operating income","iso4217_USD","1113000000","2010-07-01","2010-09-30"
"72","Operating income","iso4217_USD","1366000000","2010-10-01","2010-12-31"
"73","Operating income","iso4217_USD","1362000000","2011-07-01","2011-09-30"
"74","Income before income taxes","iso4217_USD","4000000000","2008-10-01","2009-09-30"
"75","Income before income taxes","iso4217_USD","4638000000","2009-10-01","2010-09-30"
"76","Income before income taxes","iso4217_USD","5656000000","2010-10-01","2011-09-30"
"77","Income tax provision","iso4217_USD","1648000000","2008-10-01","2009-09-30"
"78","Income tax provision","iso4217_USD","1674000000","2009-10-01","2010-09-30"
"79","Income tax provision","iso4217_USD","2010000000","2010-10-01","2011-09-30"
"80","Net income including non-controlling interest","iso4217_USD","2352000000","2008-10-01","2009-09-30"
"81","Net income including non-controlling interest","iso4217_USD","2964000000","2009-10-01","2010-09-30"
"82","Net income including non-controlling interest","iso4217_USD","3646000000","2010-10-01","2011-09-30"
"83","Loss attributable to non-controlling interest","iso4217_USD","-1000000","2008-10-01","2009-09-30"
"84","Loss attributable to non-controlling interest","iso4217_USD","-2000000","2009-10-01","2010-09-30"
"85","Loss attributable to non-controlling interest","iso4217_USD","-4000000","2010-10-01","2011-09-30"
"86","Income Allocation - Basic","iso4217_USD","2353000000","2008-10-01","2009-09-30"
"87","Income Allocation - Basic","iso4217_USD","2966000000","2009-10-01","2010-09-30"
"88","Income Allocation - Basic","iso4217_USD","3650000000","2010-10-01","2011-09-30"
"89","Income Allocation - Basic","iso4217_USD","713000000","2010-01-01","2010-03-31"
"90","Income Allocation - Basic","iso4217_USD","881000000","2011-01-01","2011-03-31"
"91","Income Allocation - Basic","iso4217_USD","716000000","2010-04-01","2010-06-30"
"92","Income Allocation - Basic","iso4217_USD","1005000000","2011-04-01","2011-06-30"
"93","Income Allocation - Basic","iso4217_USD","763000000","2009-10-01","2009-12-31"
"94","Income Allocation - Basic","iso4217_USD","774000000","2010-07-01","2010-09-30"
"95","Income Allocation - Basic","iso4217_USD","884000000","2010-10-01","2010-12-31"
"96","Income Allocation - Basic","iso4217_USD","880000000","2011-07-01","2011-09-30"
