"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Due from Banks","usd","39771000000",NA,"2013-12-31"
"2","Cash and Due from Banks","usd","27831000000",NA,"2014-12-31"
"3","Cash and Due from Banks","usd","20490000000",NA,"2015-12-31"
"4","Cash and Due from Banks","usd","23873000000",NA,"2016-12-31"
"5","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","340015000000",NA,"2015-12-31"
"6","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","365762000000",NA,"2016-12-31"
"7","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","212575000000",NA,"2015-12-31"
"8","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","229967000000",NA,"2016-12-31"
"9","Securities Borrowed, Gross Including Not Subject to Master Netting Arrangement","usd","98721000000",NA,"2015-12-31"
"10","Securities Borrowed, Gross Including Not Subject to Master Netting Arrangement","usd","96409000000",NA,"2016-12-31"
"11","Trading Assets","usd","343839000000",NA,"2015-12-31"
"12","Trading Assets","usd","372130000000",NA,"2016-12-31"
"13","Available-for-sale Securities and Held-to-maturity Securities","usd","290827000000",NA,"2015-12-31"
"14","Available-for-sale Securities and Held-to-maturity Securities","usd","289059000000",NA,"2016-12-31"
"15","Loans Receivable, Net of Deferred Income","usd","837299000000",NA,"2015-12-31"
"16","Loans Receivable, Net of Deferred Income","usd","894765000000",NA,"2016-12-31"
"17","Loans and Leases Receivable, Allowance","usd","13555000000",NA,"2015-12-31"
"18","Loans and Leases Receivable, Allowance","usd","13776000000",NA,"2016-12-31"
"19","Loans Receivable, Net","usd","823744000000",NA,"2015-12-31"
"20","Loans Receivable, Net","usd","880989000000",NA,"2016-12-31"
"21","Accrued Interest and Accounts Receivable","usd","46605000000",NA,"2015-12-31"
"22","Accrued Interest and Accounts Receivable","usd","52330000000",NA,"2016-12-31"
"23","Property, Plant and Equipment, Net","usd","14362000000",NA,"2015-12-31"
"24","Property, Plant and Equipment, Net","usd","14131000000",NA,"2016-12-31"
"25","Goodwill","usd","48081000000",NA,"2013-12-31"
"26","Goodwill","usd","47647000000",NA,"2014-12-31"
"27","Goodwill","usd","47325000000",NA,"2015-12-31"
"28","Goodwill","usd","47288000000",NA,"2016-12-31"
"29","Servicing Asset at Fair Value, Amount","usd","9614000000",NA,"2013-12-31"
"30","Servicing Asset at Fair Value, Amount","usd","7436000000",NA,"2014-12-31"
"31","Servicing Asset at Fair Value, Amount","usd","6608000000",NA,"2015-12-31"
"32","Servicing Asset at Fair Value, Amount","usd","6096000000",NA,"2016-12-31"
"33","Other Intangible Assets, Net","usd","1015000000",NA,"2015-12-31"
"34","Other Intangible Assets, Net","usd","862000000",NA,"2016-12-31"
"35","Other Assets","usd","105572000000",NA,"2015-12-31"
"36","Other Assets","usd","112076000000",NA,"2016-12-31"
"37","Assets","usd","2572274000000",NA,"2014-12-31"
"38","Assets","usd","2351698000000",NA,"2015-12-31"
"39","Assets","usd","2490972000000",NA,"2016-12-31"
"40","Deposits","usd","1279715000000",NA,"2015-12-31"
"41","Deposits","usd","1375179000000",NA,"2016-12-31"
"42","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase","usd","152678000000",NA,"2015-12-31"
"43","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase","usd","165666000000",NA,"2016-12-31"
"44","Commercial Paper","usd","15562000000",NA,"2015-12-31"
