"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Due from Banks","usd","27831000000",NA,"2014-12-31"
"2","Cash and Due from Banks","usd","20490000000",NA,"2015-12-31"
"3","Cash and Due from Banks","usd","23873000000",NA,"2016-12-31"
"4","Cash and Due from Banks","usd","25827000000",NA,"2017-12-31"
"5","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","365762000000",NA,"2016-12-31"
"6","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","404294000000",NA,"2017-12-31"
"7","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","229967000000",NA,"2016-12-31"
"8","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","198422000000",NA,"2017-12-31"
"9","Securities Borrowed","usd","96409000000",NA,"2016-12-31"
"10","Securities Borrowed","usd","105112000000",NA,"2017-12-31"
"11","Trading Assets","usd","372130000000",NA,"2016-12-31"
"12","Trading Assets","usd","381844000000",NA,"2017-12-31"
"13","Available-for-sale Securities and Held-to-maturity Securities","usd","289059000000",NA,"2016-12-31"
"14","Available-for-sale Securities and Held-to-maturity Securities","usd","249958000000",NA,"2017-12-31"
"15","Loans Receivable, Net of Deferred Income","usd","894765000000",NA,"2016-12-31"
"16","Loans Receivable, Net of Deferred Income","usd","930697000000",NA,"2017-12-31"
"17","Loans and Leases Receivable, Allowance","usd","13776000000",NA,"2016-12-31"
"18","Loans and Leases Receivable, Allowance","usd","13604000000",NA,"2017-12-31"
"19","Loans Receivable, Net","usd","880989000000",NA,"2016-12-31"
"20","Loans Receivable, Net","usd","917093000000",NA,"2017-12-31"
"21","Accrued Interest and Accounts Receivable","usd","52330000000",NA,"2016-12-31"
"22","Accrued Interest and Accounts Receivable","usd","67729000000",NA,"2017-12-31"
"23","Property, Plant and Equipment, Net","usd","14131000000",NA,"2016-12-31"
"24","Property, Plant and Equipment, Net","usd","14159000000",NA,"2017-12-31"
"25","Goodwill, Servicing Assets at Fair Value, and Other Intangible Assets","usd","54246000000",NA,"2016-12-31"
"26","Goodwill, Servicing Assets at Fair Value, and Other Intangible Assets","usd","54392000000",NA,"2017-12-31"
"27","Other Assets","usd","112076000000",NA,"2016-12-31"
"28","Other Assets","usd","114770000000",NA,"2017-12-31"
"29","Assets","usd","2351698000000",NA,"2015-12-31"
"30","Assets","usd","2490972000000",NA,"2016-12-31"
"31","Assets","usd","2533600000000",NA,"2017-12-31"
"32","Deposits","usd","1375179000000",NA,"2016-12-31"
"33","Deposits","usd","1443982000000",NA,"2017-12-31"
"34","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase","usd","165666000000",NA,"2016-12-31"
"35","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase","usd","158916000000",NA,"2017-12-31"
"36","Short-term Debt","usd","34443000000",NA,"2016-12-31"
"37","Short-term Debt","usd","51802000000",NA,"2017-12-31"
"38","Trading Liabilities","usd","136659000000",NA,"2016-12-31"
"39","Trading Liabilities","usd","123663000000",NA,"2017-12-31"
"40","Accounts Payable and Accrued Liabilities","usd","190543000000",NA,"2016-12-31"
"41","Accounts Payable and Accrued Liabilities","usd","189383000000",NA,"2017-12-31"
"42","Beneficial Interest Liability","usd","39047000000",NA,"2016-12-31"
"43","Beneficial Interest Liability","usd","26081000000",NA,"2017-12-31"
"44","Long-term Debt and Capital Lease Obligations, Including Current Maturities","usd","295245000000",NA,"2016-12-31"
"45","Long-term Debt and Capital Lease Obligations, Including Current Maturities","usd","284080000000",NA,"2017-12-31"
"46","Liabilities","usd","2236782000000",NA,"2016-12-31"
"47","Liabilities","usd","2277907000000",NA,"2017-12-31"
"48","Commitments and Contingencies","usd",NA,NA,"2016-12-31"
"49","Commitments and Contingencies","usd",NA,NA,"2017-12-31"
"50","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","26068000000",NA,"2016-12-31"
"51","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","26068000000",NA,"2017-12-31"
"52","Common Stock, Value, Issued","usd","4105000000",NA,"2016-12-31"
"53","Common Stock, Value, Issued","usd","4105000000",NA,"2017-12-31"
"54","Additional Paid in Capital, Common Stock","usd","91627000000",NA,"2016-12-31"
"55","Additional Paid in Capital, Common Stock","usd","90579000000",NA,"2017-12-31"
"56","Retained Earnings (Accumulated Deficit)","usd","162440000000",NA,"2016-12-31"
"57","Retained Earnings (Accumulated Deficit)","usd","177676000000",NA,"2017-12-31"
"58","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-1175000000",NA,"2016-12-31"
"59","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-119000000",NA,"2017-12-31"
"60","Common Stock Held in Trust","usd","21000000",NA,"2016-12-31"
"61","Common Stock Held in Trust","usd","21000000",NA,"2017-12-31"
"62","Treasury Stock, Value","usd","28854000000",NA,"2016-12-31"
"63","Treasury Stock, Value","usd","42595000000",NA,"2017-12-31"
"64","Stockholders' Equity Attributable to Parent","usd","247573000000",NA,"2015-12-31"
"65","Stockholders' Equity Attributable to Parent","usd","254190000000",NA,"2016-12-31"
"66","Stockholders' Equity Attributable to Parent","usd","255693000000",NA,"2017-12-31"
"67","Liabilities and Equity","usd","2490972000000",NA,"2016-12-31"
"68","Liabilities and Equity","usd","2533600000000",NA,"2017-12-31"
